,Location,Area,Security,Bedrooms,Price
775,Nizampet,1200,0,2,5280000
776,Nizampet,1160,0,2,5100000
777,Nizampet,1060,0,2,5500000
778,other,1506,0,3,6000000
779,Nizampet,1165,0,2,4500000
780,Tarnaka,1471,0,3,6500000
781,West Marredpally,3200,0,3,20000000
782,Nagole,1350,0,3,4500000
783,Malkajgiri,1850,0,3,10100000
784,Mallapur,1600,0,2,5500000
785,other,1250,0,3,4800000
786,Toli Chowki,1050,0,2,4500000
787,Mallapur,1900,0,2,8000000
788,Mallapur,1150,0,2,3800000
789,West Marredpally,1700,0,3,8000000
790,other,1765,0,3,13500000
791,Mallampet,1050,0,1,3000000
792,Nizampet,1050,0,2,3200000
793,Mallapur,1750,0,3,6000000
794,Nizampet,1150,0,2,3400000
795,East Marredpally,990,0,2,7000000
796,Nagole,1150,1,2,5000000
797,Banjara Hills,2400,1,3,22000000
798,Nizampet,1200,0,2,5280000
799,Nizampet,1060,0,2,5500000
800,Nizampet,1160,0,2,5100000
801,Nizampet,1165,0,2,4500000
802,Manikonda,1278,0,2,6000000
803,Puppalaguda,2021,0,2,8000000
804,other,1765,0,3,13500000
805,Puppalaguda,2021,0,2,8000000
806,other,1005,0,2,2700000
807,Gachibowli,3180,1,3,34000000
808,Kondapur,3180,0,3,34000000
809,Nizampet,1000,0,2,3300000
810,East Marredpally,987,0,2,6900000
811,West Marredpally,1075,0,2,3200000
812,Kukatpally,600,0,1,2000000
813,other,1400,0,3,7000000
814,Puppalaguda,1300,0,3,4600000
815,Puppalaguda,1300,0,3,4600000
816,Manikonda,1490,0,3,7000000
817,East Marredpally,1275,0,2,8599000
818,Beeramguda,1096,0,2,3800000
819,Nizampet,1100,0,2,3740000
820,Mallapur,1000,0,2,3500000
821,Nizampet,1050,0,2,3570000
822,Nizampet,1100,0,2,3740000
823,Nizampet,1100,0,2,3740000
824,other,1450,0,3,3300000
825,Appa Junction Peerancheru,1376,1,2,6742000
826,Appa Junction Peerancheru,1972,1,3,9662000
827,Appa Junction Peerancheru,1180,1,2,5782000
828,Appa Junction Peerancheru,1554,1,3,7614000
829,Appa Junction Peerancheru,1628,1,3,7977000
830,Appa Junction Peerancheru,1274,1,2,6242000
831,Appa Junction Peerancheru,1784,1,3,8741000
832,Appa Junction Peerancheru,1788,1,3,8761000
833,Appa Junction Peerancheru,1400,1,2,6859999
834,Appa Junction Peerancheru,1966,1,3,9633000
835,Appa Junction Peerancheru,1502,1,3,7359000
836,Appa Junction Peerancheru,1707,1,3,8364000
837,Appa Junction Peerancheru,1642,1,3,8045000
838,Appa Junction Peerancheru,1487,1,2,7286000
839,Appa Junction Peerancheru,1633,1,3,8001000
840,Appa Junction Peerancheru,1800,1,3,8820000
841,Appa Junction Peerancheru,1877,1,3,9197000
842,Appa Junction Peerancheru,1524,1,2,7467000
843,Appa Junction Peerancheru,1326,1,2,6497000
844,Appa Junction Peerancheru,1465,1,2,7178000
845,Appa Junction Peerancheru,1597,1,3,7825000
846,Miyapur,1265,0,2,9075000
847,Miyapur,1945,0,3,10100000
848,Kukatpally,1435,1,3,7962000
849,Miyapur,1925,0,3,12700000
850,Miyapur,1265,0,2,9075000
851,Kukatpally,1905,1,3,10700000
852,Kukatpally,1090,1,2,6168000
853,Kukatpally,1230,1,2,6895999
854,Kukatpally,1920,1,3,10700000
855,Miyapur,1905,0,3,10700000
856,Kukatpally,1170,1,1,6233000
857,Appa Junction,1385,0,2,8800000
858,Appa Junction,1390,0,2,8998000
859,Appa Junction,1282,0,2,7998999
860,Gajularamaram,1020,0,1,4284000
861,Aminpur,1935,0,3,10000000
862,Kukatpally,1090,0,2,7098999
863,Kondapur,1630,0,3,9828000
864,Kukatpally,1695,0,3,10900000
865,Appa Junction,1282,0,2,7998999
866,Appa Junction,1390,0,2,8998000
867,Appa Junction,1385,0,2,8800000
868,Appa Junction,1385,0,2,8800000
869,Beeramguda,1080,0,2,3500000
870,Krishna Reddy Pet,1045,0,2,3300000
871,Krishna Reddy Pet,1100,0,2,3200000
872,Kukatpally,1090,0,2,7317000
873,other,1700,0,2,10900000
874,other,1730,0,2,11100000
875,Kukatpally,1700,0,3,10900000
876,Gajularamaram,1050,0,2,4600000
877,other,2400,0,4,15000000
878,Miyapur,1214,0,2,5500000
879,Beeramguda,1080,0,2,3500000
880,Kukatpally,1090,0,2,7317000
881,Kukatpally,1840,0,3,11800000
882,Gajulramaram Kukatpally,1620,1,3,8098000
883,Gajulramaram Kukatpally,1125,1,2,5623000
884,Gajulramaram Kukatpally,1368,1,3,6838000
885,Kokapet,2115,1,3,10500000
886,Kukatpally,1695,0,3,11200000
887,Mallampet,1125,0,1,3375000
888,other,1170,0,2,5500000
889,Miyapur,1200,0,2,4200000
890,LB Nagar,902,0,2,4700000
891,Kukatpally,1695,0,3,10600000
892,Kondapur,1200,0,2,6500000
893,Krishna Reddy Pet,1100,0,2,3600000
894,Krishna Reddy Pet,1035,0,2,3300000
895,Krishna Reddy Pet,1025,0,2,3300000
896,Narsingi,1490,0,3,8100000
897,Manikonda,1130,0,2,4500000
898,Puppalaguda,1480,0,3,8900000
899,Gajularamaram,1050,0,2,4710000
900,other,1510,0,3,8100000
901,Miyapur,1925,0,3,12700000
902,Kondapur,1525,0,3,8700000
903,other,1523,0,2,6300000
904,other,1200,0,3,6700000
905,Hitech City,3233,0,4,45000000
906,Mallampet,1620,0,3,5000000
907,Kachiguda,1500,0,1,10000000
908,Manikonda,1650,0,3,7500000
909,Jubilee Hills,1908,0,3,15000000
910,Manikonda,1130,0,2,4500000
911,Puppalaguda,1480,0,3,8900000
912,Gajularamaram,1050,0,2,4710000
913,Tarnaka,1548,0,3,8500000
914,Tarnaka,1725,0,3,5499000
915,Tarnaka,1500,0,2,7500000
916,Puppalaguda,1430,0,2,8500000
917,Krishna Reddy Pet,1050,0,2,3200000
918,Miyapur,1294,0,2,3828000
919,Krishna Reddy Pet,1050,0,2,3200000
920,Krishna Reddy Pet,1100,0,2,3200000
921,Beeramguda,1080,0,2,3500000
922,Krishna Reddy Pet,1100,0,2,3600000
923,Krishna Reddy Pet,1025,0,2,3300000
924,Krishna Reddy Pet,1035,0,2,3299000
925,Beeramguda,1085,0,2,3500000
926,Attapur,1480,0,3,6500000
927,Krishna Reddy Pet,1100,0,2,3600000
928,Miyapur,1920,0,3,10700000
929,Miyapur,1190,0,2,8573000
930,Beeramguda,1080,0,2,3600000
931,Gajularamaram,1465,0,3,6300000
932,Miyapur,1190,0,2,8573000
933,Gajularamaram,1050,0,2,4600000
934,Tellapur,1538,1,3,8298999
935,Tellapur,1678,1,3,8800000
936,Tellapur,1678,1,3,8800000
937,Beeramguda,1080,0,2,3600000
938,Beeramguda,1080,0,2,3600000
939,Kukatpally,1695,0,3,11200000
940,other,1700,0,3,13500000
941,Kachiguda,1500,0,1,10000000
942,Manikonda,1650,0,3,7500000
943,Miyapur,1920,0,3,10700000
944,Miyapur,1190,0,2,8573000
945,Manikonda,1130,0,2,4500000
946,Puppalaguda,1480,0,3,8900000
947,Puppalaguda,2000,0,3,10000000
948,Gajularamaram,1050,0,2,4710000
949,other,1170,0,2,5500000
950,Tarnaka,1548,0,3,8500000
951,Tarnaka,1725,0,3,5499000
952,Tarnaka,1500,0,2,7500000
953,Puppalaguda,1430,0,2,8500000
954,Krishna Reddy Pet,1045,0,2,3300000
955,Krishna Reddy Pet,1035,0,2,3300000
956,Krishna Reddy Pet,1025,0,2,3300000
957,Beeramguda,1080,0,2,3500000
958,Beeramguda,1080,0,2,3500000
959,Krishna Reddy Pet,1035,0,2,3299000
960,Beeramguda,1085,0,2,3500000
961,Attapur,1480,0,3,6500000
962,Krishna Reddy Pet,1100,0,2,3600000
963,Krishna Reddy Pet,1045,0,2,3300000
964,Krishna Reddy Pet,1035,0,2,3300000
965,Krishna Reddy Pet,1025,0,2,3300000
966,Kondapur,1525,0,2,8500000
967,Beeramguda,1080,0,2,3500000
968,Kukatpally,1730,0,3,11399999
969,Attapur,1361,0,3,6500000
970,Miyapur,1265,0,2,9075000
971,Gajularamaram,1555,0,3,6600000
972,Kondapur,1200,0,2,6500000
973,Kondapur,1681,0,3,10200000
974,Kondapur,1250,0,2,7500000
975,Gajularamaram,1050,0,2,4500000
976,Shaikpet,1700,0,3,11000000
977,Gajularamaram,1555,0,3,6600000
978,other,1170,0,2,6233000
979,Mallampet,1620,0,3,5000000
980,Miyapur,607,0,1,3000000
981,Gachibowli,990,0,1,8000000
982,Toli Chowki,1000,0,2,4000000
983,other,1565,0,3,6200000
984,other,1630,0,3,11000000
985,Bandlaguda Jagir,1100,0,2,3700000
986,Krishna Reddy Pet,1100,0,2,3200000
987,Krishna Reddy Pet,1025,0,2,3300000
988,Beeramguda,1080,0,2,3500000
989,Krishna Reddy Pet,1100,0,2,3600000
990,Krishna Reddy Pet,1100,0,2,3600000
991,Krishna Reddy Pet,1025,0,2,3300000
992,other,682,0,1,2700000
993,Tarnaka,1245,0,2,7498999
994,Kondapur,1500,0,3,8500000
995,other,900,0,2,3000000
996,other,1320,0,3,6800000
997,other,1530,0,3,7500000
998,Kukatpally,1190,1,2,8573000
999,Kukatpally,1695,0,3,10600000
1000,Kondapur,1200,0,2,6500000
1001,Beeramguda,1080,0,2,3500000
1002,Beeramguda,1080,0,2,3500000
1003,Beeramguda,1080,0,2,3500000
1004,Krishna Reddy Pet,1100,0,2,3600000
1005,Krishna Reddy Pet,1035,0,2,3300000
1006,Krishna Reddy Pet,1025,0,2,3300000
1007,Narsingi,1490,0,3,8100000
1008,other,1539,0,3,8998000
1009,Puppalaguda,1641,0,2,7900000
1010,Puppalaguda,1640,0,2,7900000
1011,Puppalaguda,1402,0,1,6700000
1012,Puppalaguda,1401,0,1,6700000
1013,Miyapur,1925,0,3,12700000
1014,Gajularamaram,1050,0,2,4600000
1015,Gajularamaram,1555,0,3,6600000
1016,Bachupally,1008,0,2,3800000
1017,Beeramguda,1080,0,2,3500000
1018,Beeramguda,1080,0,2,3500000
1019,Kukatpally,1230,1,2,6895999
1020,Gajularamaram,1050,0,2,4600000
1021,Miyapur,1925,0,3,12700000
1022,Kondapur,1525,0,3,8700000
1023,other,1523,0,2,6300000
1024,other,1200,0,3,6700000
1025,Hitech City,3233,0,4,45000000
1026,Manikonda,1350,0,3,8200000
1027,Sanath Nagar,1188,0,2,14000000
1028,Tellapur,1199,1,2,6200000
1029,Gachibowli,1538,0,3,8600000
1030,Kukatpally,1730,0,3,11399999
1031,Beeramguda,1080,0,2,3600000
1032,Beeramguda,1080,0,2,3600000
1033,Krishna Reddy Pet,1045,0,2,3300000
1034,Krishna Reddy Pet,1035,0,2,3300000
1035,Krishna Reddy Pet,1025,0,2,3300000
1036,Kondapur,1525,0,2,8500000
1037,Beeramguda,1080,0,2,3500000
1038,Miyapur,1115,0,2,8070000
1039,Kukatpally,1090,0,2,7317000
1040,Hitech City,3233,0,4,45000000
1041,Beeramguda,1080,0,2,3500000
1042,Darga Khaliz Khan,1568,0,3,9000000
1043,Appa Junction,1568,0,3,9000000
1044,Appa Junction,1568,0,3,9000000
1045,Appa Junction,1794,0,3,10100000
1046,Appa Junction,1794,0,3,10100000
1047,Manikonda,1350,0,3,8200000
1048,Kondapur,1525,0,3,8500000
1049,Manikonda,1530,0,2,7800000
1050,Gachibowli,1953,1,2,14600000
1051,Gachibowli,3434,1,4,26000000
1052,Puppalaguda,1580,0,3,9800000
1053,Kondapur,1815,0,3,10600000
1054,Aminpur,1935,0,3,10000000
1055,Aminpur,1905,0,3,9906000
1056,other,1695,0,2,10900000
1057,other,1090,0,1,7098999
1058,Gajularamaram,1555,0,2,5909000
1059,Aminpur,1265,0,2,7843000
1060,Narsingi,1490,0,3,8100000
1061,Miyapur,1115,0,2,7581999
1062,Gajularamaram,1555,0,3,6600000
1063,Appa Junction,1390,0,2,9000000
1064,Appa Junction,1799,0,3,10100000
1065,Appa Junction,1799,0,3,10100000
1066,Appa Junction,1799,0,3,10100000
1067,Appa Junction,1638,0,3,9298000
1068,Appa Junction,1638,0,3,9300000
1069,Darga Khaliz Khan,1638,0,3,9300000
1070,Appa Junction,1794,0,3,10100000
1071,Kukatpally,1230,1,2,6895999
1072,other,1200,0,2,3850000
1073,Attapur,1200,0,3,3200000
1074,Puppalaguda,2000,0,3,10000000
1075,other,1170,0,2,6233000
1076,other,682,0,1,2700000
1077,Tarnaka,1245,0,2,7498999
1078,other,1530,0,3,7500000
1079,Darga Khaliz Khan,1568,0,3,9000000
1080,Appa Junction,1390,0,2,9000000
1081,Appa Junction,1282,0,2,8000000
1082,Darga Khaliz Khan,1282,0,2,8000000
1083,Appa Junction,1282,0,2,8000000
1084,Appa Junction,1390,0,2,9000000
1085,Darga Khaliz Khan,1282,0,2,8000000
1086,Darga Khaliz Khan,1282,0,2,8000000
1087,Appa Junction,1282,0,2,8000000
1088,Appa Junction,1214,0,2,7100000
1089,Appa Junction,1390,0,2,9000000
1090,Darga Khaliz Khan,1392,0,2,8000000
1091,Appa Junction,1392,0,2,8000000
1092,Appa Junction,1390,0,2,9000000
1093,Darga Khaliz Khan,1282,0,2,7998999
1094,other,1020,0,2,5800000
1095,LB Nagar,905,0,2,4800000
1096,Kukatpally,1730,0,3,11399999
1097,Miyapur,1925,0,3,12600000
1098,Miyapur,1925,0,3,12600000
1099,Miyapur,1925,0,3,12600000
1100,Miyapur,1265,0,2,9075000
1101,Gajularamaram,1465,0,3,6300000
1102,Gajularamaram,1050,0,2,4500000
1103,Appa Junction,1430,0,2,9400000
1104,Appa Junction,1430,0,2,9400000
1105,Appa Junction,1430,0,2,9400000
1106,Appa Junction,1430,0,2,9400000
1107,Appa Junction,1385,0,2,8798000
1108,Kondapur,1525,0,3,8500000
1109,Appa Junction,1799,0,3,10100000
1110,Appa Junction,1799,0,3,10100000
1111,Appa Junction,1799,0,3,10100000
1112,Appa Junction,1638,0,3,9298000
1113,Appa Junction,1638,0,3,9300000
1114,Darga Khaliz Khan,1638,0,3,9300000
1115,Appa Junction,1794,0,3,10100000
1116,Darga Khaliz Khan,1568,0,3,9000000
1117,Appa Junction,1568,0,3,9000000
1118,Appa Junction,1568,0,3,9000000
1119,Appa Junction,1794,0,3,10100000
1120,Manikonda,1100,0,2,6000000
1121,East Marredpally,3266,0,3,21700000
1122,Manikonda,1200,0,2,5200000
1123,Gajularamaram,1555,0,3,6600000
1124,other,1620,0,3,4900000
1125,Mallampet,1125,0,1,3375000
1126,Mallampet,1100,0,1,3315000
1127,Gajularamaram,1050,0,2,4600000
1128,Beeramguda,1080,0,2,3500000
1129,Kukatpally,1090,0,2,7317000
1130,Manikonda,1380,0,3,6600000
1131,Begumpet,1510,0,3,11000000
1132,Kukatpally,1652,1,3,9581000
1133,Hitech City,3147,1,4,26100000
1134,Hitech City,3090,1,4,25600000
1135,Hitech City,3044,1,4,25200000
1136,Hitech City,2051,1,3,17000000
1137,Hitech City,3498,1,4,29000000
1138,Hitech City,3101,1,4,25700000
1139,Hitech City,3049,1,4,25299999
1140,Hitech City,1738,1,3,14400000
1141,Hitech City,1355,1,2,11200000
1142,Hitech City,1334,1,2,11000000
1143,Hitech City,1346,1,2,11100000
1144,Hitech City,1327,1,2,11000000
1145,Kukatpally,1652,1,3,9581000
1146,Kondapur,1473,1,2,9942000
1147,Kondapur,2607,1,3,17500000
1148,Kondapur,2800,1,3,18900000
1149,Kondapur,2192,1,3,14700000
1150,Kondapur,2815,1,3,19000000
1151,Kondapur,2452,1,3,16500000
1152,Kondapur,2191,1,3,14700000
1153,Kondapur,2813,1,3,18900000
1154,Kondapur,1290,1,2,8707000
1155,Kondapur,1300,1,2,8775000
1156,Kondapur,1368,1,2,9234000
1157,other,1550,0,3,8000000
1158,Manikonda,1550,0,3,6509999
1159,Hitech City,2049,1,4,23000000
1160,Hitech City,3494,1,4,29000000
1161,Hitech City,1336,1,2,11000000
1162,Kondapur,1850,1,3,12400000
1163,Kondapur,1500,1,2,10100000
1164,Puppalaguda,1620,0,3,7500000
1165,Begumpet,1200,0,2,6200000
1166,Banjara Hills,2700,0,3,17500000
1167,Kondapur,3600,0,4,29000000
1168,Kondapur,1530,0,3,8700000
1169,Sanath Nagar,1265,0,2,6956999
1170,Nallagandla Gachibowli,1260,1,2,6676000
1171,Nallagandla Gachibowli,1695,1,3,9066000
1172,Nallagandla Gachibowli,1860,1,3,9949000
1173,Balanagar,1520,1,3,7600000
1174,Balanagar,1655,1,3,8275000
1175,Balanagar,1665,1,3,8325000
1176,Balanagar,1755,1,3,9126000
1177,Balanagar,1765,1,3,8825000
1178,Balanagar,1940,1,3,10000000
1179,Nallagandla Gachibowli,1260,1,2,7243000
1180,Nallagandla Gachibowli,1695,1,3,11000000
1181,Nallagandla Gachibowli,1860,1,3,10600000
1182,Manikonda,1313,0,2,5514000
1183,Manikonda,1256,0,2,5275000
1184,Manikonda,1150,0,2,4830000
1185,Sanath Nagar,1495,0,3,12000000
1186,Sanath Nagar,1500,0,3,12000000
1187,Sanath Nagar,1685,0,3,13500000
1188,Sanath Nagar,1895,0,3,10400000
1189,Sanath Nagar,1780,0,3,14200000
1190,Sanath Nagar,1785,0,3,14300000
1191,Nallagandla Gachibowli,1265,1,2,6323000
1192,Nallagandla Gachibowli,1270,1,2,6348000
1193,Nallagandla Gachibowli,1511,1,2,7553000
1194,Nallagandla Gachibowli,1270,1,3,6348000
1195,Nallagandla Gachibowli,1665,1,3,8323000
1196,Nallagandla Gachibowli,1265,1,2,7272000
1197,Balanagar,1430,1,3,7150000
1198,Balanagar,1610,1,3,8050000
1199,Balanagar,1320,1,3,6600000
1200,Balanagar,1435,1,3,7175000
1201,Balanagar,1510,1,3,7550000
1202,Nallagandla Gachibowli,1270,1,2,7301000
1203,Nallagandla Gachibowli,1511,1,2,8686000
1204,Nallagandla Gachibowli,1270,1,3,7301000
1205,Nallagandla Gachibowli,1665,1,3,9571000
1206,Manikonda,1280,0,2,5376000
1207,Manikonda,1278,0,2,5367000
1208,Manikonda,1230,0,2,5166000
1209,Manikonda,1503,0,3,6312000
1210,Manikonda,1585,0,3,6656999
1211,Manikonda,1189,0,2,4993000
1212,Manikonda,1209,0,2,5077000
1213,Manikonda,1279,0,2,5371000
1214,Manikonda,1311,0,2,5506000
1215,Manikonda,1405,0,3,5901000
1216,Manikonda,1495,0,3,6279000
1217,Manikonda,1953,0,3,8202000
1218,Manikonda,1627,0,3,6833000
1219,Manikonda,1778,0,3,7467000
1220,Manikonda,1970,0,3,8273999
1221,Manikonda,1900,0,3,7980000
1222,Manikonda,1971,0,3,8278000
1223,Manikonda,1846,0,3,7753000
1224,Manikonda,1804,0,3,7576000
1225,Manikonda,1550,0,3,6509999
1226,Manikonda,1559,0,3,6547000
1227,Manikonda,1629,0,3,6841000
1228,Manikonda,1752,0,3,7358000
1229,Manikonda,1808,0,3,7593000
1230,Manikonda,1986,0,3,8341000
1231,Manikonda,1605,0,3,6741000
1232,Manikonda,1715,0,3,7203000
1233,Manikonda,1826,0,3,7669000
1234,Manikonda,1995,0,3,8379000
1235,Manikonda,1996,0,3,8383000
1236,Narsingi,1655,1,3,10200000
1237,Attapur,1020,0,2,4284000
1238,other,1160,0,2,4640000
1239,other,5200,1,3,59600000
1240,Manikonda,2250,0,3,12500000
1241,other,1160,0,2,4640000
1242,Shaikpet,1990,1,3,12600000
1243,other,1585,0,3,6340000
1244,other,1165,0,2,4660000
1245,other,550,0,1,2200000
1246,other,550,0,1,2200000
1247,Nizampet,1260,0,2,5500000
1248,Nizampet,1105,0,2,3700000
1249,Nizampet,1105,0,2,3700000
1250,Shaikpet,2080,1,3,14500000
1251,other,1235,1,2,4993000
1252,Hitech City,2260,1,3,17000000
1253,Hitech City,2015,1,3,15000000
1254,Hitech City,2015,1,3,15000000
1255,Narsingi,1700,1,3,12000000
1256,Sanath Nagar,1265,1,2,9300000
1257,Manikonda,4650,1,4,45000000
1258,Gachibowli,1742,0,3,13700000
1259,other,2300,1,3,12500000
1260,Beeramguda,1110,0,2,3700000
1261,Beeramguda,1110,0,2,4300000
1262,other,1050,0,2,4800000
1263,other,1050,0,2,4850000
1264,other,1505,0,3,8426000
1265,TellapurOsman Nagar Road,2026,1,3,11299999
1266,other,1640,0,3,8000000
1267,Serilingampally,1650,1,3,8200000
1268,TellapurOsman Nagar Road,1880,1,3,10500000
1269,Kukatpally,1216,1,2,8200000
1270,Tellapur,2026,1,3,11500000
1271,other,1585,0,3,6340000
1272,Hitech City,2015,1,3,15000000
1273,Hitech City,2500,1,3,19000000
1274,Bandlaguda Jagir,2771,1,4,13000000
1275,Sanath Nagar,1895,1,3,16900000
1276,Sanath Nagar,1500,1,3,14900000
1277,Madhapur,2595,1,4,26900000
1278,Kondapur,2250,1,3,23000000
1279,Nanakramguda,2060,0,3,14400000
1280,Kondapur,1880,1,3,17600000
1281,Gajularamaram,1620,0,3,9500000
1282,Gajularamaram,1620,0,3,9499000
1283,Kondapur,2250,1,3,23000000
1284,Nanakramguda,2060,0,3,14400000
1285,Kokapet,1390,0,3,9728000
1286,Bandlaguda Jagir,1255,0,2,6623000
1287,Bandlaguda Jagir,2285,0,3,12300000
1288,Gachibowli,1993,0,3,17600000
1289,Bandlaguda Jagir,2282,0,3,12300000
1290,Narsingi,1384,0,3,9254000
1291,TellapurOsman Nagar Road,1880,0,3,10500000
1292,Tellapur,1874,1,3,11100000
1293,other,1165,0,2,4660000
1294,Manikonda,2000,1,3,8500000
1295,other,1820,0,3,7280000
1296,Shaikpet,4160,1,4,35000000
1297,other,1020,0,2,5300000
1298,other,1430,0,3,5720000
1299,Kukatpally,1360,1,2,9000000
1300,other,1125,1,2,3600000
1301,other,1430,0,3,5720000
1302,Hitech City,3044,1,4,23000000
1303,Hitech City,3101,1,4,23000000
1304,Hitech City,3147,1,4,23600000
1305,Hitech City,3090,1,4,23000000
1306,other,1139,1,2,3800000
1307,LB Nagar,1560,0,3,8800000
1308,TellapurOsman Nagar Road,1880,1,3,10200000
1309,Tellapur,1687,1,3,9278000
1310,other,770,1,2,2800000
1311,Manikonda,1257,0,2,6800000
1312,Narsingi,2225,1,3,11100000
1313,Narsingi,2170,1,3,10800000
1314,Narsingi,1425,1,2,7125000
1315,Narsingi,2025,1,3,10100000
1316,other,1410,0,2,7755000
1317,other,2160,0,3,11800000
1318,other,1905,0,3,10400000
1319,other,2665,0,3,14600000
1320,other,2400,0,3,13200000
1321,other,1395,0,2,7672000
1322,Kokapet,1945,1,3,12600000
1323,Kokapet,1945,1,3,12600000
1324,Kokapet,1945,1,3,12600000
1325,Kokapet,1680,1,3,10900000
1326,Kokapet,1680,0,3,10900000
1327,Kokapet,1270,1,2,8255000
1328,Kokapet,1270,1,2,8255000
1329,Kokapet,1270,1,2,8255000
1330,Kokapet,1480,1,3,9620000
1331,other,3000,1,4,9900000
1332,Nizampet,1225,1,2,4800000
1333,Tellapur,2026,1,3,11200000
1334,Bandlaguda Jagir,1525,1,3,7900000
1335,LB Nagar,1265,0,2,5692000
1336,Kondapur,1640,1,3,10500000
1337,Kukatpally,1360,1,2,8900000
1338,LB Nagar,1560,0,3,8600000
1339,Tellapur,2026,1,3,11399999
1340,other,1125,1,2,4161999
1341,Pragathi Nagar Kukatpally,1515,0,3,6800000
1342,Pragathi Nagar Kukatpally,1515,0,3,6800000
1343,other,950,1,2,3300000
1344,Pragathi Nagar Kukatpally,1515,0,3,6800000
1345,Pragathi Nagar Kukatpally,1515,0,3,6800000
1346,other,1820,0,3,7280000
1347,Pragathi Nagar Kukatpally,1515,0,3,6800000
1348,Tellapur,2026,1,3,11200000
1349,Kukatpally,1366,1,2,9000000
1350,Nizampet,1146,0,2,4300000
1351,Kukatpally,1441,1,2,9400000
1352,Kukatpally,1360,1,2,8900000
1353,Hitech City,3090,1,4,23000000
1354,other,1000,0,2,2850000
1355,Tellapur,2026,1,3,11200000
1356,TellapurOsman Nagar Road,2026,1,3,11299999
1357,Tellapur,1880,1,3,10500000
1358,TellapurOsman Nagar Road,2026,1,3,11200000
1359,other,1820,0,3,7280000
1360,other,1125,0,2,3600000
1361,Attapur,1950,0,3,8383000
1362,Attapur,1951,0,3,8387000
1363,Attapur,1951,0,3,8387000
1364,Kukatpally,1441,1,2,9400000
1365,Narsingi,1700,1,3,10500000
1366,Narsingi,1700,1,3,10500000
1367,Narsingi,1700,1,3,10500000
1368,Narsingi,1700,1,3,10500000
1369,Kukatpally,1279,1,2,8400000
1370,Kondapur,1570,0,3,8200000
1371,other,1215,1,2,4600000
1372,other,1050,1,2,4300000
1373,Gachibowli,1260,1,3,8800000
1374,Pragathi Nagar Kukatpally,1515,0,3,6900000
1375,other,1300,1,3,4810000
1376,Narsingi,1700,1,3,10500000
1377,Hitech City,3090,1,4,23000000
1378,Kukatpally,1274,1,2,8400000
1379,Kukatpally,1274,1,2,8400000
1380,Kokapet,1400,0,3,7980000
1381,other,1621,0,3,6500000
1382,Kokapet,1800,0,3,10200000
1383,Nizampet,1200,0,2,4800000
1384,other,1400,0,3,4099000
1385,Nizampet,1200,0,2,4800000
1386,Bachupally Road,1155,0,2,4158000
1387,Bachupally Road,1175,0,2,4239000
1388,other,1128,1,3,4500000
1389,other,1150,0,2,7000000
1390,TellapurOsman Nagar Road,2026,1,3,11299999
1391,TellapurOsman Nagar Road,1880,1,3,10500000
1392,Tellapur,1880,1,3,10200000
1393,other,1350,0,3,4000000
1394,Bachupally Road,1155,0,2,4158000
1395,Bachupally Road,1155,0,2,4158000
1396,Hitech City,3090,1,4,23000000
1397,Hitech City,3090,1,4,23000000
1398,Hitech City,3090,1,4,23000000
1399,Serilingampally,1650,1,3,8150000
1400,Serilingampally,1650,1,3,8200000
1401,Serilingampally,1650,1,3,8200000
1402,Serilingampally,1650,1,3,8200000
1403,Serilingampally,1650,1,3,8200000
1404,Serilingampally,1650,1,3,8200000
1405,Serilingampally,1650,1,3,8200000
1406,other,1235,0,2,4940000
1407,Pragathi Nagar Kukatpally,1515,0,3,6800000
1408,Serilingampally,1650,1,3,8150000
1409,Serilingampally,1650,1,3,8150000
1410,Serilingampally,1650,1,3,8200000
1411,Serilingampally,1650,1,3,8200000
1412,Serilingampally,1650,1,3,8200000
1413,Serilingampally,1650,1,3,8200000
1414,Serilingampally,1650,1,3,8200000
1415,other,1700,0,3,7500000
1416,other,960,0,3,3500000
1417,Bachupally Road,1155,0,2,4158000
1418,Serilingampally,1650,1,3,8150000
1419,Serilingampally,1650,1,3,8150000
1420,Serilingampally,1650,1,3,8200000
1421,Bachupally Road,1175,0,2,4239000
1422,Serilingampally,1650,1,3,8200000
1423,Bachupally Road,1175,0,2,4239000
1424,Kondapur,1370,0,2,7000000
1425,Kukatpally,1216,1,2,8000000
1426,Kukatpally,1366,1,2,9000000
1427,Kukatpally,1216,1,2,8000000
1428,Bachupally Road,1155,0,2,4158000
1429,Tellapur,2026,1,3,11299999
1430,Kondapur,1570,0,3,8000000
1431,Attapur,1950,0,3,8383000
1432,other,1170,0,2,6786000
1433,Pragathi Nagar Kukatpally,1515,0,3,6000000
1434,Attapur,1471,0,2,6323000
1435,Attapur,1470,0,2,6319000
1436,Attapur,1470,0,2,6319000
1437,Attapur,1955,0,3,8404000
1438,Nizampet,1000,1,2,4500000
1439,other,1515,1,3,6000000
1440,other,1515,1,3,6000000
1441,Kukatpally,1274,1,2,8400000
1442,Madhapur,2865,1,4,40000000
1443,Kukatpally,1090,1,2,7317000
1444,Tellapur,2026,1,3,11200000
1445,Pragathi Nagar Kukatpally,1515,0,3,6000000
1446,other,950,0,2,6500000
1447,Pragathi Nagar Kukatpally,1515,0,3,6000000
1448,Pragathi Nagar Kukatpally,1515,0,3,6000000
1449,TellapurOsman Nagar Road,1880,1,3,10500000
1450,Nanakramguda,2220,1,3,15500000
